"Dataset_ID","Continent","Basin_Type","Latitude","Longitude","Area_m2","record_type"
22953,"Europe","Peat",41.86226,41.80203,NA,"peatland"
22955,"Europe","Peat",48.89417,17.88861,NA,"peatland"
22960,"Europe","Lake",46.6798,7.97638,57205.1895,"small lake"
22962,"Europe","Peat",46.82194,7.735,NA,"peatland"
22964,"Europe","Peat",46.82194,7.735,NA,"peatland"
22966,"Europe","Peat",46.82194,7.735,NA,"peatland"
22969,"North America","Lake",41.5,-106.37,36968.91879,"small lake"
22971,"Europe","Peat",50.27611,12.09944,NA,"peatland"
22973,"Europe","Peat",50.12786,11.8868,NA,"peatland"
22976,"Europe","Lake",42.98754,10.89235,NA,"small lake"
22982,"Europe","Lake",43.67126,28.5472,2117959.281,"large lake"
22986,"Europe","Peat",46.65917,8.004167,NA,"peatland"
22988,"Europe","Lake",46.6696,8.02132,75720.89468,"small lake"
22992,"Europe","Lake",46.71801,8.06769,41337.6933,"small lake"
23000,"Europe","Lake",42.21099,23.3256,49168.95452,"small lake"
23004,"Europe","Peat",51.19139,28.01373,NA,"peatland"
23006,"Europe","Peat",51.21782,28.05581,NA,"peatland"
23008,"Europe","Peat",50.35423,24.6789,NA,"peatland"
23015,"Europe","Peat",48.91156,24.12074,NA,"peatland"
23019,"Europe","Peat",41.35472,23.12528,NA,"peatland"
24030,"Europe","Lake",41.62131,24.67809,4406.363774,"small lake"
24032,"Europe","Peat",41.98333,24.33333,NA,"peatland"
24034,"Europe","Peat",51.19892,28.02352,NA,"peatland"
24039,"Europe","Peat",49.9075,12.04028,NA,"peatland"
24042,"Europe","Peat",49.60793,12.54137,NA,"peatland"
24044,"Europe","Peat",49.78722,12.4625,NA,"peatland"
24046,"Europe","Peat",46.76194,7.863889,NA,"peatland"
24048,"Europe","Peat",46.54722,8.255556,NA,"peatland"
24050,"Europe","Peat",46.83472,7.356389,NA,"peatland"
24053,"Europe","Peat",46.64471,11.49194,NA,"peatland"
24055,"Europe","Peat",46.63801,11.45791,NA,"peatland"
24057,"Europe","Lake",46.66586,11.432,6246.115603,"small lake"
24059,"Europe","Lake",50.07857,13.21404,NA,"small lake"
24061,"Europe","Peat",46.66611,11.45833,NA,"peatland"
24078,"Europe","Peat",50.8919,14.27638,NA,"peatland"
24080,"Europe","Peat",46.4701,10.3364,NA,"peatland"
24084,"Europe","Lake",49.14483,14.70426,492670.0249,"small lake"
24086,"Europe","Lake",49.14483,14.70426,NA,"small lake"
24089,"Europe","Lake",50.54278,13.53705,862897.0575,"large lake"
24091,"Europe","Peat",46.76006,11.68051,NA,"peatland"
24097,"Europe","Lake",48.97805,17.20026,NA,"small lake"
24100,"Europe","Peat",49.13194,18.02778,NA,"peatland"
24102,"Europe","Peat",49.52056,18.63083,NA,"peatland"
24106,"Europe","Lake",40.76667,20.78333,NA,"small lake"
24108,"Europe","Peat",50.08486,17.21766,NA,"peatland"
24110,"Europe","Peat",58.02114,16.05602,NA,"peatland"
24112,"Europe","Peat",50.19893,15.96136,NA,"peatland"
24116,"Europe","Peat",50.60412,16.12716,NA,"peatland"
24118,"Europe","Peat",48.95367,12.85801,NA,"peatland"
24143,"Europe","Peat",50.73661,15.70843,NA,"peatland"
24145,"Europe","Peat",50.73661,15.70843,NA,"peatland"
24149,"Europe","Peat",50.73661,15.70843,NA,"peatland"
24155,"Europe","Lake",68.68811,22.05346,106567.4295,"small lake"
24157,"Europe","Lake",40.90936,36.00906,9487999.128,"large lake"
24159,"Europe","Lake",40.78002,32.02629,NA,"small lake"
24161,"Europe","Lake",40.6,31.28333,1032577.479,"large lake"
24164,"Europe","Peat",50.73661,15.70843,NA,"peatland"
24181,"Europe","Lake",50.7624,15.55231,NA,"small lake"
24183,"Europe","Peat",47.24056,7.05,NA,"peatland"
24186,"Europe","Peat",46.73444,7.398889,NA,"peatland"
24188,"Europe","Lake",46.2525,8.023056,10993.69523,"small lake"
24190,"Europe","Lake",46.2525,8.023056,NA,"small lake"
24193,"Europe","Peat",46.28306,7.844167,NA,"peatland"
24195,"Europe","Peat",46.28306,7.844167,NA,"peatland"
24221,"Europe","Peat",50.76549,15.5408,NA,"peatland"
24227,"Europe","Peat",50.21609,14.83143,NA,"peatland"
24236,"Europe","Lake",50.25933,14.57363,NA,"small lake"
24238,"Europe","Lake",50.19864,14.67036,NA,"small lake"
24243,"Europe","Peat",50.06644,14.23883,NA,"peatland"
24250,"Europe","Peat",49.37639,14.02583,NA,"peatland"
24256,"Europe","Peat",49.23475,14.62598,NA,"peatland"
24259,"Europe","Peat",46.49687,6.12357,NA,"peatland"
24279,"Europe","Peat",49.392,12.4515,NA,"peatland"
24281,"Europe","Peat",49.392,12.4515,NA,"peatland"
24284,"Europe","Peat",46.9365,7.473,NA,"peatland"
24286,"Europe","Peat",46.9365,7.473,NA,"peatland"
24294,"Asia","Peat",38.05,96.46667,NA,"peatland"
24298,"Europe","Peat",46.63333,7.3925,NA,"peatland"
24300,"Europe","Peat",46.37972,8.030278,NA,"peatland"
24302,"Europe","Lake",46.38972,8.025556,NA,"small lake"
24305,"Europe","Lake",46.38972,8.025556,NA,"small lake"
24312,"Europe","Lake",46.37194,7.990556,NA,"small lake"
24317,"Europe","Lake",46.19556,7.845,5287.879674,"small lake"
24319,"Europe","Lake",46.19556,7.845,NA,"small lake"
24321,"Europe","Lake",46.33999,7.989136,5832.153661,"small lake"
24325,"Europe","Peat",41.47972,24.32583,NA,"peatland"
24327,"Europe","Peat",41.27384,23.58353,NA,"peatland"
24339,"Europe","Peat",41.05167,22.27472,NA,"peatland"
24341,"Europe","Peat",41.01972,21.91222,NA,"peatland"
24343,"Europe","Peat",40.25944,22.17083,NA,"peatland"
24348,"Europe","Peat",42.55417,2.008333,NA,"peatland"
24354,"North America","Lake",53.61148,-106.495,74587.58045,"small lake"
24356,"Europe","Lake",40.55194,21.32222,NA,"small lake"
24358,"Europe","Peat",40.13889,22.54611,NA,"peatland"
24360,"Europe","Peat",39.52417,21.4775,NA,"peatland"
24363,"Europe","Peat",43.43667,4.936667,NA,"peatland"
24373,"Europe","Lake",39.0585,22.24997,NA,"small lake"
24376,"Europe","Lake",37.57781,22.72815,NA,"small lake"
24386,"Europe","Peat",35.24888,24.27821,NA,"peatland"
24388,"Europe","Peat",35.24888,24.27821,NA,"peatland"
24390,"Europe","Lake",38.86667,20.83333,8617531.725,"large lake"
24410,"Europe","Peat",44.56667,3.125,NA,"peatland"
24412,"Europe","Peat",44.74722,3.085,NA,"peatland"
24414,"Europe","Peat",44.74444,3.081111,NA,"peatland"
24441,"Europe","Peat",44.46667,3.65,NA,"peatland"
24454,"Europe","Peat",43.60167,2.978889,NA,"peatland"
24456,"Europe","Peat",43.55,2.8,NA,"peatland"
24461,"Europe","Peat",44.43333,3.6,NA,"peatland"
24463,"Europe","Peat",45.38611,2.636111,NA,"peatland"
24465,"Europe","Peat",45.13944,2.859167,NA,"peatland"
24467,"Europe","Peat",49.18333,3.133333,NA,"peatland"
24477,"Europe","Peat",47.33972,-2.16556,NA,"peatland"
24479,"Europe","Peat",47.3725,-2.15917,NA,"peatland"
24488,"Europe","Lake",48.35361,-3.88722,4211392.243,"large lake"
24509,"Europe","Peat",46.50556,1.362222,NA,"peatland"
24513,"Europe","Peat",48.44167,-1.18167,NA,"peatland"
24518,"Europe","Lake",46.74611,1.4425,NA,"small lake"
24520,"Europe","Peat",46.79222,1.1775,NA,"peatland"
24522,"Europe","Peat",46.74056,1.228889,NA,"peatland"
24524,"Europe","Peat",48.43889,-0.575,NA,"peatland"
24526,"Europe","Peat",48.43333,-0.91667,NA,"peatland"
24528,"Europe","Peat",48.35,-0.42778,NA,"peatland"
24530,"Europe","Peat",48.35,-0.42778,NA,"peatland"
24532,"Europe","Peat",48.35,-0.42778,NA,"peatland"
24534,"Europe","Peat",47.09222,0.480556,NA,"peatland"
24539,"Europe","Peat",48.41667,-0.21111,NA,"peatland"
24555,"Europe","Peat",47.34694,-2.86444,NA,"peatland"
24559,"Europe","Peat",47.33528,-2.87417,NA,"peatland"
24590,"Europe","Peat",47.21722,-2.10222,NA,"peatland"
24593,"Europe","Peat",47.96944,-0.41639,NA,"peatland"
24595,"Europe","Peat",47.95167,-0.42028,NA,"peatland"
