"Dataset_ID","Continent","Basin_Type","Latitude","Longitude","Area_m2","record_type"
41214,"Europe","Peat",51.49222,0.2225,NA,"peatland"
41216,"Europe","Peat",51.04361,0.828056,NA,"peatland"
41218,"Europe","Peat",51.32083,4.245278,NA,"peatland"
41220,"Europe","Peat",51.52028,0.176944,NA,"peatland"
41222,"Europe","Peat",50.82778,-1.72583,NA,"peatland"
41224,"Europe","Peat",50.6275,-3.98194,NA,"peatland"
41226,"Europe","Peat",50.6275,-3.98194,NA,"peatland"
41228,"Europe","Peat",51.12028,-3.80472,NA,"peatland"
41233,"Europe","Peat",55.12028,-3.0725,NA,"peatland"
41235,"Asia","Peat",56.61667,84.16667,NA,"peatland"
